index,Name,Movie Word Count,Movie Characters Count,Link,Year,Director,Studio,Running Time,ProducedBy,WrittenBy,ScreenplayBy,StoryBy,Starring,MusicBy,Cinematography,EditedBy,DistributedBy,ReleaseDate,Release Day,BoxOffice
0,Devakottai Kadhal,2,17,,2019,A. R. Kashim,Abbas Movie Line,,,,,,,,,,,,,
1,Maanik,2,6,https://en.wikipedia.org/wiki/Maanik,2019,Martyn,Mohita Cine Talkies,0, M. Subramaniyan,0,0,0," Ma Ka Pa Anand
Suza Kumar", Dharan Kumar, Mahesh Muthuswami, K M Riyaz,0,04-Jan-19,6,0
2,Sigai,1,5,https://en.wikipedia.org/wiki/Sigai,2019,Jagadeesan Subu,0,102 minutes, NPKS.Logu," Jagadeesan subbu
M.K.Mani
Aravindhan",0,0," Kathir
Meera Nair
Raj Bharath
Riythvika
Mayilsamy", Ron Ethan Yohann, Navin Kumar, Anucharan, ZEE5,"
15 January 2017 (All Lights India International Film Festival)
9 January 2019 (India)",4,0
3,Petta,1,5,https://en.wikipedia.org/wiki/Petta_(film),2019,Karthik Subbaraj,Sun Pictures,172 minutes, Kalanithi Maran, Karthik Subbaraj,0,0," Rajinikanth
Simran
Vijay Sethupathi
Trisha
Nawazuddin Siddiqui
M. Sasikumar
Malavika Mohanan
Bobby Simha
Megha Akash", Anirudh Ravichander, Tirru, Vivek Harshan, Sun Pictures,10-Jan-19,5, ₹220–250 crore
4,Viswasam,1,8,https://en.wikipedia.org/wiki/Viswasam,2019,Siva,Sathya Jyothi Films,156 minutes," T. G. Thyagarajan
(Presenter)
Sendhil Thyagarajan
Arjun Thyagarajan"," Siva
K. Manikandan
Ra. Savarimuthu
Antony Bakyaraj
Chandran Pachaimuthu
(Dialogues)", Siva, Ajith Kumar," Ajith Kumar
Nayanthara", D. Imman, Vetri, Ruben," KJR Studios, Raja Mannar Films & Sakthi Film Factory",10-Jan-19,5, ₹160–200 crore
5,Charlie Chaplin 2,1,17,https://en.wikipedia.org/wiki/Charlie_Chaplin_2,2019,Sakthi Chidambaram,Amma Creations,0, T. Siva, Sakthi Chidambaram,0,0," Prabhu Deva
Prabhu
Nikki Galrani", Amresh Ganesh, Soundarrajan, G. Sasikumar,0,25-Jan-19,6,0
6,Kuthoosi,3,8,https://en.wikipedia.org/wiki/Kuthoosi,2019,Siva Sakthi,Sri Lakshmi Studios,135 minutes,0, Siva Sakthi,0,0," Dileepan
Amala Rose Kurian
Yogi Babu
Siva", N. Kannan,0,0,0,25-Jan-19,6,0
7,Simba,1,5,https://en.wikipedia.org/wiki/Simba_(2019_film),2019,Arvind Sridhar,"Magic Chair Films, Yasodha Films",131 minutes," K. Sivaneswaran
Vasu Arumugam", Arvind Sridhar,0,0," Bharath
Premji
Bhanu Sri Mehra
Swathi Deekshith
Ramana", Vishal Chandrasekhar, Sinu Siddharth, Achu Vijayan,0,25-Jan-19,6, 50 lakhs
8,Pei Ellam Paavam,1,16,,2019,Deepak Narayan,Tharakan Cinemas,,,,,,,,,,,,7,
9,Peranbu,3,7,https://en.wikipedia.org/wiki/Peranbu,2019,Ram,Shree Rajalakshmi Films,147 minutes, P. L. Thenappan, Ram,0,0,"
Mammootty
Sadhana
Anjali
Anjali Ameer", Yuvan Shankar Raja, Theni Eswar, Sathish Suriya,0,"
27 January 2018 (International Film Festival Rotterdam)
1 February 2019 (Worldwide)
",6,0
